club_id,club_name,club_description,club_location,club_membership_fee,club_membership_length,club_membership_count,team_id
47,The Wizards Fan Club,fun win lose club support fan support cheer lose fan passion fan love community win community lose support lose win,Washington D.C.,51.16,Monthly,638,272
48,The Hawks Fan Club,fun game community team passion love player fun fun passion loyalty loyalty club game win lose club community love game,Atlanta,98.41,Quarterly,249,96
49,The Jazz Fan Club,club passion basketball game cheer love passion player passion cheer club cheer loyalty cheer basketball club passion fun support club,Salt Lake City,51.98,Quarterly,196,51
50,The Bucks Fan Club,player game passion cheer team cheer passion game win club win cheer community basketball basketball lose cheer support fan fun,Milwaukee,10.9,Yearly,132,18
51,The Nets Fan Club,love lose fun player loyalty support fan fun win team win cheer passion community passion fan basketball loyalty cheer fan,Brooklyn,96.42,Yearly,531,294
52,The Lakers Fan Club,love win player passion team game cheer team team passion community win cheer community community fun loyalty game loyalty community,Los Angeles,34.72,Monthly,816,56
53,The Spurs Fan Club,support player club club fan lose loyalty win community lose cheer cheer lose basketball loyalty club fan game support support,San Antonio,71.29,Quarterly,10,139
54,The 76ers Fan Club,loyalty fan loyalty passion cheer win love cheer player player lose win cheer passion loyalty fan player win love cheer,Philadelphia,76.53,Monthly,78,158
55,The Nuggets Fan Club,game game loyalty basketball win game community lose loyalty win team player fan player support lose loyalty fan team loyalty,Denver,74.29,Quarterly,697,334
56,The Nuggets Fan Club,love cheer basketball fun player team love team community win loyalty passion love loyalty basketball community love passion fun lose,Denver,15.33,Quarterly,278,206
57,The Nuggets Fan Club,club loyalty player fun lose fun passion loyalty club cheer passion club support club support basketball game loyalty fan basketball,Denver,81.84,Monthly,882,306
58,The Mavericks Fan Club,community lose club win love club community lose win club club player lose fun community support club loyalty club loyalty,Dallas,56.89,Monthly,826,215
59,The Suns Fan Club,basketball support love win loyalty fan win team win win passion passion fan fun lose loyalty community basketball lose community,Phoenix,14.88,Quarterly,861,303
60,The Hornets Fan Club,team club passion fun loyalty team club player win passion basketball game support fun basketball team fan lose love lose,Charlotte,44.99,Yearly,275,320
61,The Raptors Fan Club,love team loyalty passion support cheer win cheer cheer win lose support cheer team fun passion club fan team basketball,Toronto,78.15,Yearly,869,258
62,The Bucks Fan Club,fun support fun love win game fan club passion fan player lose win win lose support win team cheer love,Milwaukee,78.16,Yearly,31,281
63,The Hawks Fan Club,club basketball game player fun community fan support community passion love player team player support lose lose lose fun loyalty,Atlanta,92.66,Yearly,420,103
64,The Clippers Fan Club,community cheer fun community fan love support cheer team loyalty win loyalty community lose passion player team fun love passion,Los Angeles,46.64,Yearly,927,269
65,The Warriors Fan Club,lose fan win cheer team fan support fun lose support game fan basketball game lose win player lose player fun,San Francisco,66.11,Monthly,666,119
66,The Spurs Fan Club,fun basketball team player support game love player player club club team player cheer team game team game support lose,San Antonio,43.1,Monthly,863,4
67,The Rockets Fan Club,fun player player fan game win community team cheer player team fun team community love player love fun basketball club,Houston,57.8,Monthly,205,314
68,The Nets Fan Club,support fan fun fun love win player basketball fun love team loyalty club team win fan community community game support,Brooklyn,83.27,Yearly,885,365
69,The Nuggets Fan Club,passion win cheer fun passion passion cheer lose player fun lose player club game cheer fun game loyalty game game,Denver,40.31,Yearly,596,338
70,The Lakers Fan Club,loyalty win club player fun fan win lose fun cheer community lose fun passion player club team game club love,Los Angeles,46.84,Monthly,982,79
71,The Wizards Fan Club,game win cheer game loyalty game lose support passion player fan game win community basketball lose club support passion love,Washington D.C.,88.17,Yearly,808,111
72,The Bulls Fan Club,club love player fan love basketball fan player love fan club loyalty lose club basketball love love support love loyalty,Chicago,43.36,Monthly,673,318
73,The Clippers Fan Club,passion fan win player fun fun loyalty fan lose passion support cheer support loyalty game game community player lose passion,Los Angeles,61.33,Yearly,945,26
74,The Suns Fan Club,game community love lose team basketball support fun community community support support passion fun cheer team cheer lose basketball lose,Phoenix,84.77,Yearly,507,8
75,The Mavericks Fan Club,club cheer win win team club community community loyalty loyalty club basketball game community love support win lose basketball basketball,Dallas,62.79,Quarterly,865,349
76,The Celtics Fan Club,lose fun win loyalty fan basketball love fan fan team team basketball support love basketball cheer love lose support fun,Boston,54.46,Monthly,741,200
77,The Clippers Fan Club,lose basketball loyalty game lose fan fan cheer love club cheer love club passion love lose loyalty cheer passion player,Los Angeles,95.23,Yearly,477,220
78,The Bulls Fan Club,club passion win support game love community team passion love support fan lose game passion support loyalty support passion fan,Chicago,29.62,Quarterly,461,155
79,The Hawks Fan Club,support basketball club community team club love loyalty loyalty support loyalty player team loyalty community loyalty lose community fan support,Atlanta,12.19,Quarterly,220,241
80,The 76ers Fan Club,club player cheer basketball team love win passion support passion player player game basketball lose player community support support basketball,Philadelphia,32.13,Monthly,849,2
81,The Mavericks Fan Club,club club basketball love community player lose love win support club passion team loyalty game game love passion fun team,Dallas,36.05,Quarterly,428,109
82,The Clippers Fan Club,fan support love game support community passion support community cheer support basketball player support player passion passion team club love,Los Angeles,59.2,Yearly,680,68
83,The Wizards Fan Club,loyalty fan fun club fan fun cheer game team love club fan club player cheer passion team player player fan,Washington D.C.,70.38,Yearly,387,318
84,The Wizards Fan Club,support fun game team cheer club team lose game fun fan fun game game passion win club cheer community player,Washington D.C.,80.51,Quarterly,392,152
85,The Knicks Fan Club,game game club cheer passion win loyalty love game love cheer team community support team passion support team team player,New York,86.52,Monthly,507,266
86,The Clippers Fan Club,team team win team game club team passion love club community support cheer team loyalty love loyalty club passion lose,Los Angeles,87.2,Monthly,113,109
87,The Nets Fan Club,basketball support community lose fan fan fan game lose community lose lose support win game cheer club win team team,Brooklyn,27.31,Quarterly,164,139
88,The Bucks Fan Club,fun club team game passion win fan basketball support team love passion cheer fan basketball win cheer basketball fan game,Milwaukee,78.34,Yearly,111,89
89,The Nuggets Fan Club,fan team fan player basketball team love win love lose fun team player game game fan club win passion player,Denver,49.71,Monthly,456,138
90,The Heat Fan Club,player fun love player love cheer basketball community team game win loyalty passion basketball basketball team game fun basketball team,Miami,19.3,Monthly,45,310
91,The 76ers Fan Club,lose fan fan cheer player loyalty passion love win fun cheer basketball team win club community love community passion love,Philadelphia,55.48,Quarterly,278,239
92,The Lakers Fan Club,support support player cheer fan basketball passion game basketball passion win basketball passion game lose team lose fan lose win,Los Angeles,83.6,Yearly,746,243
93,The Lakers Fan Club,fun team community passion cheer player support loyalty support team cheer passion fun basketball fun player basketball club fun lose,Los Angeles,30.81,Yearly,374,210
94,The Raptors Fan Club,team win win support fun community club fan community player support support team community player game community love club win,Toronto,78.9,Yearly,406,75
95,The Celtics Fan Club,fan basketball game love fan cheer support loyalty cheer support club fan game fan team community support fun player basketball,Boston,16.09,Monthly,477,322
96,The Knicks Fan Club,cheer player love lose fan fan win fan support loyalty fun basketball love community player team game support community game,New York,85.5,Yearly,381,381
97,The Nets Fan Club,cheer loyalty community community love community loyalty team community passion club team support game fan basketball team cheer lose cheer,Brooklyn,12.54,Monthly,79,221
98,The Heat Fan Club,lose club lose love player lose basketball loyalty cheer support fan community community club team community lose club fun win,Miami,68.27,Yearly,594,38
99,The Knicks Fan Club,win game fan club loyalty passion fan team love lose game game fun passion community team fan team community passion,New York,51.98,Quarterly,680,176
100,The Heat Fan Club,basketball cheer lose fan win club fan club support fan win love fan fun support team fan love support win,Miami,58.15,Quarterly,666,167
101,The Lakers Fan Club,fun fan love club fun cheer team club basketball win fan win support basketball community game club support game cheer,Los Angeles,41.89,Yearly,953,25
102,The Wizards Fan Club,lose loyalty game love player basketball basketball team community win passion fan fan club game support fun fun lose basketball,Washington D.C.,55.54,Monthly,602,62
103,The 76ers Fan Club,player club cheer love support club cheer team cheer team loyalty win loyalty passion community fun passion game cheer win,Philadelphia,45.02,Monthly,545,281
104,The Hornets Fan Club,love passion game cheer basketball win passion cheer player community basketball lose community community lose team team win cheer support,Charlotte,87.4,Yearly,555,122
105,The Knicks Fan Club,game support support player basketball fun fun club club cheer community win player lose win game lose loyalty team game,New York,33.95,Monthly,905,140
106,The Knicks Fan Club,fan support club loyalty love player fun love team loyalty loyalty support win fun fun fan fan passion loyalty team,New York,87.77,Monthly,948,312
107,The Warriors Fan Club,basketball team club basketball loyalty win game club love fan club club cheer support support lose club lose fan game,San Francisco,90.69,Yearly,46,233
108,The Knicks Fan Club,love basketball fun club player lose lose loyalty basketball team fun club passion love player win cheer community love lose,New York,48.73,Quarterly,468,376
109,The Hawks Fan Club,basketball fan cheer game game game passion win support game community win cheer team fan love community lose game community,Atlanta,94.62,Yearly,969,55
110,The Lakers Fan Club,lose passion love fun community team community win support lose game team lose win club club cheer lose basketball basketball,Los Angeles,41.86,Yearly,672,184
111,The Warriors Fan Club,game win fun loyalty fan lose loyalty lose game fan game lose team fun love game win love game support,San Francisco,41.74,Quarterly,576,201
112,The Suns Fan Club,fun team support cheer win game club game club support community community support loyalty club support fun fun team cheer,Phoenix,45.83,Monthly,888,218
113,The Wizards Fan Club,fun loyalty player support support love player community loyalty basketball community win lose team basketball community loyalty club team love,Washington D.C.,98.32,Monthly,583,61
114,The Rockets Fan Club,fun fan fan team basketball fan win player loyalty lose player game community love loyalty community cheer fun fun fan,Houston,43.57,Quarterly,814,322
115,The Jazz Fan Club,support win community passion loyalty loyalty player community fun fun fun win passion loyalty love loyalty fan game fun passion,Salt Lake City,16.21,Quarterly,293,296
116,The Hawks Fan Club,passion passion player love fun community basketball community community basketball team support player team lose cheer player community fun cheer,Atlanta,57.91,Yearly,644,268
117,The Rockets Fan Club,game love lose loyalty fan club cheer basketball community support club lose support passion team fan player cheer game community,Houston,88.6,Monthly,894,157
118,The Mavericks Fan Club,win lose club love player player basketball love fan player fan community player game basketball love player game fun loyalty,Dallas,80.08,Quarterly,72,20
119,The 76ers Fan Club,loyalty basketball lose loyalty game club fun lose win passion passion fan game loyalty lose team love support game loyalty,Philadelphia,94.57,Monthly,386,153
120,The Rockets Fan Club,club basketball support loyalty player lose game club passion love team basketball support win club loyalty player basketball lose passion,Houston,84.14,Monthly,162,176
121,The Bucks Fan Club,fun support support community club cheer club fun community team player passion basketball community game fan game player passion fun,Milwaukee,19.59,Quarterly,315,127
122,The Heat Fan Club,win team passion support club support lose passion win fun basketball player fun basketball game community win fan community fun,Miami,41.86,Yearly,177,329
123,The Hornets Fan Club,club community lose fun passion fun win cheer fun basketball lose lose lose cheer club fan passion game love basketball,Charlotte,70.84,Quarterly,412,113
124,The Hornets Fan Club,game passion love game community basketball community club game lose team cheer community club passion support game fun win community,Charlotte,85.2,Monthly,936,98
125,The 76ers Fan Club,win cheer love player lose love club support community lose win player loyalty basketball loyalty fun passion cheer fun cheer,Philadelphia,44.58,Quarterly,726,244
126,The Warriors Fan Club,passion community win love fan cheer team passion loyalty basketball club game team fan win cheer cheer lose game loyalty,San Francisco,15.51,Yearly,395,336
127,The Bucks Fan Club,game win fan support fun basketball cheer team basketball cheer support passion lose community community club fan player fun support,Milwaukee,37.03,Monthly,206,256
128,The Bucks Fan Club,support passion team fun club basketball loyalty basketball lose player fun basketball team team love player game fan team player,Milwaukee,83.3,Quarterly,49,74
129,The Wizards Fan Club,win fun fun loyalty club club team fan basketball club team game fan basketball loyalty passion community basketball team club,Washington D.C.,54.07,Monthly,627,309
130,The Knicks Fan Club,fan community love love game game game team fun cheer win team lose win player cheer win lose win lose,New York,41.12,Quarterly,505,351
131,The Lakers Fan Club,support cheer community player team cheer love fan fan basketball game club player game player win passion player lose fun,Los Angeles,48.27,Quarterly,922,280
132,The Jazz Fan Club,lose support team love loyalty fan win game passion fun love cheer fun loyalty fun lose game win support loyalty,Salt Lake City,51.17,Quarterly,64,253
133,The Spurs Fan Club,passion club cheer passion player game fun cheer passion team community player game cheer team love fan basketball club game,San Antonio,61.43,Quarterly,807,224
134,The Mavericks Fan Club,club lose community loyalty game team game love love basketball lose fan fan loyalty team love love passion community win,Dallas,14.17,Quarterly,119,317
135,The Warriors Fan Club,team win lose community lose club loyalty cheer team loyalty fun lose fan loyalty basketball game win cheer basketball love,San Francisco,36.62,Quarterly,120,60
136,The Jazz Fan Club,loyalty basketball team love basketball support support team community team passion support lose game loyalty team support cheer club team,Salt Lake City,94.2,Quarterly,409,267
137,The Nets Fan Club,fun fan game support support basketball fan support win club loyalty club cheer basketball lose cheer team basketball passion fan,Brooklyn,54.18,Yearly,549,347
138,The Mavericks Fan Club,fun lose club player team community win support fan game cheer basketball player fun basketball lose loyalty player team passion,Dallas,78.02,Yearly,86,71
139,The Hawks Fan Club,cheer passion loyalty team team passion team club loyalty support community win love fan passion lose community team community cheer,Atlanta,37.75,Yearly,737,106
140,The Jazz Fan Club,fun fun community game player love support fan lose love cheer loyalty love team fun support passion basketball support team,Salt Lake City,27.11,Quarterly,64,343
141,The Celtics Fan Club,lose fun team club support lose fan fan loyalty team love game team support fan club community loyalty loyalty support,Boston,33.9,Yearly,573,40
142,The Nets Fan Club,basketball cheer cheer support community cheer passion win lose club basketball love fan support win cheer lose fun cheer club,Brooklyn,24.99,Monthly,288,187
143,The Lakers Fan Club,player lose basketball love community lose support fan love community player fan game community player fan fun game fun basketball,Los Angeles,51.03,Quarterly,25,126
144,The Nuggets Fan Club,win team team player love community loyalty loyalty fan win team basketball fan community basketball cheer fun fun fan support,Denver,67.92,Quarterly,64,257
145,The Warriors Fan Club,loyalty support fun loyalty fan team player loyalty loyalty fun basketball fan fan support loyalty loyalty basketball game support passion,San Francisco,81.78,Monthly,289,176
146,The Nets Fan Club,club love support team club passion win fun community passion game basketball club community fun game loyalty passion club win,Brooklyn,89.49,Quarterly,533,203
147,The Bucks Fan Club,love player community basketball player cheer win support loyalty fun game fun team community community passion game fun community win,Milwaukee,31.63,Yearly,160,304
148,The Suns Fan Club,loyalty cheer game game win love win loyalty passion basketball player team love fun support lose fun team support player,Phoenix,61.4,Monthly,407,251
149,The Wizards Fan Club,fun loyalty club support team cheer passion team team love community club lose win support loyalty loyalty passion fan love,Washington D.C.,37.17,Quarterly,900,397
150,The Bulls Fan Club,basketball lose cheer support support lose passion basketball loyalty passion player team basketball game club support club game basketball game,Chicago,12.96,Yearly,622,361
151,The Suns Fan Club,community community love club support team love win basketball basketball player cheer passion cheer game community win lose game cheer,Phoenix,66.59,Yearly,764,4
152,The Rockets Fan Club,cheer support cheer club club basketball win player community win loyalty win game support passion community loyalty player player cheer,Houston,51.57,Quarterly,748,108
153,The Hawks Fan Club,fan cheer love club club love support game basketball game game loyalty basketball club game support win club fan passion,Atlanta,54.68,Quarterly,503,370
154,The Jazz Fan Club,team loyalty support club basketball love game club win team fun player loyalty basketball support game game cheer win lose,Salt Lake City,21.64,Quarterly,990,326
155,The Mavericks Fan Club,cheer basketball love player loyalty team passion loyalty lose fun fan fun support loyalty team lose basketball team basketball passion,Dallas,14.96,Yearly,463,2
156,The Hornets Fan Club,cheer player basketball community game passion game lose team support basketball love basketball game player love fan loyalty fun fun,Charlotte,33.14,Monthly,163,30
157,The Celtics Fan Club,fun lose basketball team win team win fun club game win fun team passion support club support loyalty cheer lose,Boston,17.61,Monthly,222,199
158,The Nuggets Fan Club,lose win cheer loyalty lose win basketball cheer basketball love team loyalty support team passion lose win club community win,Denver,66.5,Quarterly,343,259
159,The Hawks Fan Club,fun loyalty lose club club fun loyalty fun loyalty loyalty team love community love game game basketball fan basketball team,Atlanta,27.42,Monthly,354,129
160,The Heat Fan Club,support passion fun passion lose loyalty basketball lose community win basketball fun passion love support community fan game loyalty fun,Miami,43.51,Monthly,436,352
161,The Nuggets Fan Club,win lose lose fun win fan game fun cheer fun team team loyalty basketball win player lose passion team passion,Denver,35.29,Quarterly,691,206
162,The Warriors Fan Club,basketball passion fan love fan club love player support game fun player fan fan club player cheer player team win,San Francisco,49.92,Quarterly,349,385
163,The Spurs Fan Club,fun basketball team basketball club loyalty fan club player club support fan club fan community community lose support club support,San Antonio,58.49,Monthly,312,76
164,The 76ers Fan Club,community win lose passion love support loyalty team love club club loyalty cheer win passion lose team club support team,Philadelphia,80.79,Monthly,116,147
165,The Jazz Fan Club,support loyalty win fun cheer fan love fun lose lose win cheer game fun fan win win club community win,Salt Lake City,33.93,Monthly,7,281
166,The Clippers Fan Club,fan fan team basketball love passion love game game player loyalty team club basketball win fun community fan support game,Los Angeles,68.82,Monthly,129,54
167,The Jazz Fan Club,passion passion community loyalty passion passion fan support cheer team fun player loyalty lose passion basketball player club game team,Salt Lake City,28.57,Yearly,604,154
168,The Nuggets Fan Club,fan support team player cheer support support basketball love fun game player support basketball win community team player loyalty club,Denver,60.01,Quarterly,227,349
169,The Jazz Fan Club,game support loyalty lose support win cheer fun game cheer game basketball passion player game fan support game fun loyalty,Salt Lake City,34.08,Yearly,771,34
170,The Lakers Fan Club,win team player passion team win cheer support cheer support cheer basketball love club win community passion cheer support club,Los Angeles,15.35,Yearly,842,64
171,The Warriors Fan Club,passion fan passion game club player team loyalty win club basketball passion basketball support love lose loyalty love basketball support,San Francisco,62.54,Monthly,518,334
172,The Wizards Fan Club,lose player loyalty win passion club loyalty support club basketball lose game player game basketball win player fan passion love,Washington D.C.,13.85,Quarterly,767,47
173,The Warriors Fan Club,passion cheer love fun love team cheer support player love win player team lose player lose community team love team,San Francisco,59.31,Quarterly,709,175
174,The Spurs Fan Club,player club basketball club support cheer basketball love passion game support win loyalty lose win basketball cheer player love community,San Antonio,14.36,Monthly,252,310
175,The Bulls Fan Club,fun cheer team game loyalty love community team game passion team love player win loyalty cheer passion cheer player player,Chicago,69.02,Quarterly,344,158
176,The Raptors Fan Club,basketball player fan player cheer cheer lose fan lose win fun basketball club cheer fan player player team fan player,Toronto,39.03,Quarterly,272,173
177,The Mavericks Fan Club,fan basketball fun love fan love passion support loyalty lose love game love lose basketball lose loyalty support loyalty game,Dallas,54.42,Monthly,550,57
178,The Suns Fan Club,love love lose cheer support team passion lose fun love passion fun fan support team basketball basketball team support support,Phoenix,10.24,Monthly,157,202
179,The Celtics Fan Club,support passion community fan fan team lose cheer fun player win support fun cheer support fan player player club player,Boston,98.48,Monthly,981,138
180,The Hawks Fan Club,support love lose player support club community win loyalty win fun team club loyalty community support love support fan basketball,Atlanta,33.7,Yearly,994,183
181,The 76ers Fan Club,team basketball loyalty club cheer support loyalty basketball fun club cheer player club basketball basketball cheer win passion player player,Philadelphia,65.22,Yearly,596,13
182,The Clippers Fan Club,community player fun basketball support support community fan love community community lose community support club cheer passion player club lose,Los Angeles,17.58,Yearly,270,260
183,The Clippers Fan Club,team cheer cheer game fun passion loyalty passion passion fun loyalty support win lose community basketball passion support love loyalty,Los Angeles,60.89,Quarterly,337,370
184,The Rockets Fan Club,lose cheer game passion basketball fan club player cheer team lose fan club player fan fan support passion player passion,Houston,48.0,Quarterly,524,136
185,The Celtics Fan Club,love team team fan support community support basketball passion loyalty club passion community passion passion win fun team team lose,Boston,67.38,Yearly,758,313
186,The Warriors Fan Club,support club win lose support team fun team love team lose game love lose club passion team club club club,San Francisco,31.44,Quarterly,984,202
187,The Jazz Fan Club,fan support basketball fan community game passion player win love player game love lose win fun love lose community win,Salt Lake City,63.41,Yearly,116,122
188,The Nets Fan Club,win win game community player lose lose cheer loyalty community club basketball passion fun game game win basketball basketball club,Brooklyn,72.92,Yearly,525,129
189,The Mavericks Fan Club,love community club game community loyalty team club team player passion basketball love cheer win cheer cheer win love passion,Dallas,72.52,Quarterly,772,69
190,The Warriors Fan Club,lose fun fun fan team support club passion lose love loyalty game club game player basketball team loyalty team basketball,San Francisco,43.75,Yearly,850,372
191,The Mavericks Fan Club,team team fun community fan love support lose community loyalty passion community player win love game support passion player game,Dallas,61.1,Yearly,878,189
192,The Knicks Fan Club,loyalty lose cheer support team win community lose fan loyalty support fan team fan game win game fun passion love,New York,18.28,Monthly,472,15
193,The 76ers Fan Club,passion community fan cheer game love win support loyalty cheer basketball club passion win player community team community cheer fun,Philadelphia,75.46,Yearly,263,42
194,The Bulls Fan Club,game club club passion love loyalty basketball win love fun love passion cheer passion game fun player support community fun,Chicago,20.6,Yearly,665,283
195,The Nuggets Fan Club,basketball passion club basketball player game fun basketball lose game player team club team basketball fun club basketball lose cheer,Denver,75.95,Yearly,784,396
196,The 76ers Fan Club,win basketball community club club cheer fun basketball support win basketball club team cheer community community player passion game love,Philadelphia,14.05,Quarterly,856,42
197,The Bulls Fan Club,loyalty lose cheer team support lose team lose team player love passion love game community club basketball love team fun,Chicago,65.2,Monthly,331,18
198,The Hawks Fan Club,cheer community player love support fan loyalty support support team passion team loyalty game win win fan game community club,Atlanta,15.05,Monthly,142,41
199,The Suns Fan Club,lose loyalty basketball lose support club community player community loyalty game support player fan game win loyalty cheer support fun,Phoenix,85.4,Quarterly,489,59
200,The Heat Fan Club,basketball fan club team fun basketball win club community fan cheer loyalty community love cheer win love club team win,Miami,33.87,Monthly,260,248
201,The Nets Fan Club,team player cheer fan fan fan support lose lose community community support love support passion lose support loyalty team lose,Brooklyn,15.43,Yearly,520,180
202,The Celtics Fan Club,community loyalty passion game lose fun lose fan fun love passion loyalty basketball community fan cheer team team passion club,Boston,31.57,Yearly,944,381
203,The Bulls Fan Club,community basketball fan cheer win club fan basketball community passion community loyalty loyalty loyalty loyalty player basketball win support passion,Chicago,56.41,Monthly,527,383
204,The Spurs Fan Club,community win team game love club basketball player passion fun win game win lose player club player club player passion,San Antonio,91.24,Yearly,788,319
205,The Hawks Fan Club,fan passion game lose cheer game game team support win love team cheer passion basketball support cheer lose community club,Atlanta,21.18,Yearly,500,147
